T_final,replication,n_train,n_test,c0_death,epsilon_selection,stage,mean_n_admissible,sd_n_admissible,median_n_admissible,min_n_admissible,max_n_admissible,pct_1_treatment,pct_2plus_treatments,pct_all_treatments
8,9,2000,1000,-12.0,0.3,0,4.283,1.8122348620405675,4.0,2,10,0.0,100.0,4.3999999999999995
8,9,2000,1000,-12.0,0.3,1,6.347,3.0049327148241805,5.0,2,10,0.0,100.0,35.3
8,9,2000,1000,-12.0,0.3,2,5.591,3.0576245793210237,4.0,1,10,0.7000000000000001,99.3,26.700000000000003
8,9,2000,1000,-12.0,0.3,3,5.913,3.530707704823057,5.0,1,10,7.9,92.10000000000001,37.4
8,9,2000,1000,-12.0,0.3,4,6.113,3.6853511111986075,6.0,1,10,13.3,86.7,42.699999999999996
8,9,2000,1000,-12.0,0.3,5,6.18,3.767730855010187,6.0,1,10,15.6,84.39999999999999,45.1
8,9,2000,1000,-12.0,0.3,6,5.215,3.524939744194247,4.0,1,10,17.0,83.0,29.2
8,9,2000,1000,-12.0,0.3,7,5.441,3.5787325027621617,4.0,1,10,16.400000000000002,83.6,32.1
8,10,2000,1000,-12.0,0.3,0,4.226,1.9143115181674555,4.0,2,10,0.0,100.0,4.2
8,10,2000,1000,-12.0,0.3,1,5.26,2.7788706558820118,4.0,2,10,0.0,100.0,20.9
8,10,2000,1000,-12.0,0.3,2,5.127,2.824331398375171,4.0,1,10,0.8999999999999999,99.1,19.0
8,10,2000,1000,-12.0,0.3,3,5.629,3.5275774694261215,4.0,1,10,9.5,90.5,34.9
8,10,2000,1000,-12.0,0.3,4,5.955,3.8217248174849767,6.0,1,10,20.599999999999998,79.4,42.0
8,10,2000,1000,-12.0,0.3,5,5.601,3.736811844709707,5.0,1,10,19.5,80.5,36.5
8,10,2000,1000,-12.0,0.3,6,5.233,3.6265497187909697,4.0,1,10,18.9,81.10000000000001,31.5
8,10,2000,1000,-12.0,0.3,7,5.343,3.6033783225378007,4.0,1,10,17.5,82.5,32.4
