T_final,c0_death,epsilon_selection,stage,mean_q_range_mean,mean_q_range_sd,median_q_range_mean,median_q_range_sd,mean_top2_gap_mean,mean_top2_gap_sd,median_top2_gap_mean,median_top2_gap_sd,mean_q_sd_across_treatments_mean,mean_q_sd_across_treatments_sd,mean_q_max_mean,mean_q_min_mean,relative_stage
7,-12.0,0.3,6,0.10340564965035057,0.02523903162195118,0.05906656163584192,0.014675512631495597,0.016907072205939726,0.003088358174270382,0.013498840625829345,0.0018753787552374295,0.03531641007890944,0.008588049934504724,0.3661927600044491,0.2627871103540985,0.8333333333333334
7,-12.0,0.3,7,0.05458033573937495,0.013388637116979352,0.03042458675449903,0.010320614145303218,0.008053506725494326,0.00170449600978546,0.0058380867996749575,0.001263215778970252,0.018562702239861537,0.0045497129488884245,0.17006269310355107,0.11548235736417609,1.0
8,-12.0,0.3,1,1.6111898577981936,0.09931147534085774,1.155950993316241,0.08211196636834822,0.2896354839263385,0.016847788034259067,0.2479075391210639,0.008787427014168833,0.5694032299641532,0.03773096294691206,3.3845758932479777,1.773386035449784,0.0
8,-12.0,0.3,2,0.7284965579082384,0.08821196574212882,0.4934554948906431,0.05827053097282488,0.18440363374125748,0.022198389999624295,0.12547681090159818,0.018344703035775307,0.2491247162117443,0.03083509204063683,2.2052328461257864,1.4767362882175479,0.14285714285714285
8,-12.0,0.3,3,0.48575222183372235,0.018693992281973847,0.37568309512611087,0.02191347724286362,0.12646921259362007,0.004052634580425005,0.10486801813832854,0.0066135797881241055,0.1648070277032239,0.006658504107277853,1.517843879655349,1.0320916578216268,0.2857142857142857
8,-12.0,0.3,4,0.285482475090551,0.03622080115990053,0.2010194942863547,0.015766294699974856,0.06524747394691119,0.006020291472635152,0.05954465732267665,0.004965157822203896,0.09694791524646752,0.012500104400833004,1.0883518226237627,0.8028693475332116,0.42857142857142855
8,-12.0,0.3,5,0.18208867887416297,0.020548163111652678,0.10703582878251568,0.00501393057383082,0.03541785461460649,0.0024294053902692253,0.03238038353108911,0.0011903723151644309,0.06189913120124537,0.006972416518879761,0.7846016752867745,0.6025129964126116,0.5714285714285714
8,-12.0,0.3,6,0.1373649728970387,0.02546034632411002,0.0739171303028986,0.01688022163661222,0.02256613750571726,0.0033014165543131767,0.01825858191534823,0.0021650694400283436,0.04684105429949045,0.008706510894843948,0.5445105318106989,0.4071455589136602,0.7142857142857143
8,-12.0,0.3,7,0.09350184097771684,0.009744014857591084,0.053202539977339904,0.009577036500638746,0.013765544270813673,0.0012094512577115735,0.010416080926648402,0.0012627597225281484,0.03184433454596976,0.003288607689950419,0.33704929382215343,0.24354745284443657,0.8571428571428571
8,-12.0,0.3,8,0.049241414274613565,0.007927131033107252,0.024884617592089587,0.005367915740229661,0.006653315127715938,0.0008840770581439239,0.004285106639601466,0.0006321921966965914,0.016699415712302025,0.0026655502423547912,0.1561734510878098,0.10693203681319623,1.0
9,-12.0,0.3,1,1.7592838775881225,0.10343391896687347,1.2677721054842555,0.09928855273552682,0.3141289736886107,0.023431615100297398,0.2629089384441227,0.018052289765465683,0.6221737918109033,0.038237047124012484,3.6503659851538117,1.8910821075656892,0.0
9,-12.0,0.3,2,0.744037407226422,0.04692150508552625,0.508257085166033,0.037349642424532314,0.1862529420518046,0.00969470870839573,0.12856929457257124,0.00963107942106504,0.2548757356538301,0.01727136767568767,2.3847501956849895,1.6407127884585677,0.125
9,-12.0,0.3,3,0.5499098701515609,0.045686747332913634,0.3966320598976401,0.043419955159036676,0.1367686802849397,0.010033397500726583,0.10758403966763239,0.01225597860167713,0.1870064857934262,0.015941211576676894,1.694983575627316,1.145073705475755,0.25
9,-12.0,0.3,4,0.34217524994626375,0.0321468357364931,0.22157282834587383,0.016618154307031698,0.07458322196644757,0.006153193574715983,0.0662893093780602,0.0048390262994645805,0.11619915878973627,0.010996069186363925,1.255750861836406,0.9135756118901419,0.375
9,-12.0,0.3,5,0.20281823349806843,0.02960843391233518,0.11428122142970074,0.0107709340995964,0.03892210782647322,0.00435288655651765,0.035059280770852,0.002893408012542261,0.06885380580318542,0.010118758823589513,0.949812944322981,0.7469947108249126,0.5
9,-12.0,0.3,6,0.14848804871677596,0.0265354161589131,0.07584662402596494,0.016710024982496345,0.02443156618660808,0.003654528733555857,0.020495671116516234,0.0024668384417271603,0.050554601987065684,0.00912665082433462,0.7138429060609804,0.5653548573442044,0.625
9,-12.0,0.3,7,0.10751947016188243,0.017306068789532218,0.05749604499199623,0.007339609734129649,0.016206885605270505,0.00204320102657101,0.012530709178095012,0.0008419483934124848,0.03663848018325355,0.0058642431816340055,0.5064139576035003,0.3988944874416179,0.75
9,-12.0,0.3,8,0.06994354769840569,0.012373200223214642,0.03579789751632526,0.009769896745321771,0.009753639770942821,0.0014188480456667687,0.006817318017627532,0.0011321557771230184,0.023756877256793756,0.004163730966158905,0.31689574945740845,0.24695220175900276,0.875
9,-12.0,0.3,9,0.03824431545891689,0.008277373461464637,0.017947838550951174,0.00593129078046875,0.004971760086639728,0.0009112696060706705,0.0030384532991449137,0.0006473459850802455,0.012942476839267133,0.0027830785002170015,0.14846473766324136,0.11022042220432446,1.0
